"currency","train_start","num_forecast_vals","mspe","mae","mape","pm","optimal_p","forecast","actual","upper_bound","lower_bound"
"bitcoin_close",17355,1,355058.21103729,595.867612005628,0.17634749714574,Inf,2,3974.80761200563,3378.94,4263.74637085858,3705.44919379818
"bitcoin_close",17356,1,144836.32188421,380.573674712545,0.111280804549947,Inf,2,3800.51367471254,3419.94,4198.97189550695,3439.86684148388
"bitcoin_close",17357,1,495860.967791619,704.173961313267,0.210674728961896,Inf,2,4046.64396131327,3342.47,4513.26183820753,3628.26885225358
"bitcoin_close",17358,1,567285.085543406,753.183301423635,0.222750940893282,Inf,2,4134.46330142364,3381.28,4614.59783927559,3704.28526735978
"bitcoin_close",17359,1,946050.613910165,972.651332138174,0.266434559646902,Inf,2,2677.96866786183,3650.62,3041.20727928755,2358.11489565081
"bitcoin_close",17360,1,16133.8482993645,127.019086358564,0.0326971862400448,Inf,2,3757.69091364144,3884.71,4301.74887743128,3282.44195669903
"bitcoin_close",17361,1,451019.407757014,671.579785101528,0.16487525596243,Inf,2,4744.83978510153,4073.26,5410.44146125675,4161.12155495955
"bitcoin_close",17362,1,9399.80509684706,96.9525920068518,0.0224161104999969,Inf,2,4422.08259200685,4325.13,4851.4020481197,4030.75528611549
"bitcoin_close",17363,1,17202.083889118,131.156714998196,0.0313627236702183,Inf,2,4050.7732850018,4181.93,4437.931113148,3697.39047049897
"bitcoin_close",17364,1,961423.269832722,980.521937456129,0.224035830640499,Inf,2,3396.10806254387,4376.63,3640.53139177804,3168.09518481929
"bitcoin_close",17365,1,1518.52925718701,38.968310935772,0.00899609873646822,Inf,2,4292.72168906423,4331.69,4586.59488740884,4017.67759135425
"bitcoin_close",17366,1,180022.201566758,424.290232702519,0.101977645808202,Inf,2,4584.91023270252,4160.62,4836.80064530934,4346.13774341238
"bitcoin_close",17367,1,306967.835129302,554.046780632558,0.132114071257495,Inf,2,3639.65321936744,4193.7,3833.29804065671,3455.79065774451
"bitcoin_close",17368,1,231140.639949342,480.770880929099,0.117615183486175,Inf,2,3606.8891190709,4087.66,3827.94677326198,3398.59718221366
"bitcoin_close",17369,1,2976.18280561199,54.5544022569397,0.0136326703526315,Inf,2,4056.29440225694,4001.74,4336.64520964123,3794.06741441552
"bitcoin_close",17370,1,44012.4181874974,209.791368238775,0.0511621375432324,Inf,2,3890.72863176123,4100.52,4161.57801487244,3637.50703024381
"bitcoin_close",17371,1,987.955380946803,31.4317575223977,0.00757114442960594,Inf,2,4120.0882424776,4151.52,4326.02325036643,3923.95651696147
"bitcoin_close",17372,1,4951524.57002163,2225.20214138438,0.513348653507152,Inf,2,2109.47785861562,4334.68,2212.41101712844,2011.3336995425
"bitcoin_close",17373,1,39680.1152286198,199.198682798406,0.045566539207248,Inf,2,4570.79868279841,4371.6,4866.08394374998,4293.43201641756
"bitcoin_close",17374,1,35296.681058617,187.874109601661,0.0431656349604037,Inf,2,4540.27410960166,4352.4,4835.23446932394,4263.30700633044
"bitcoin_close",17375,1,1924.93596795456,43.8740922180114,0.0100103338941544,Inf,2,4426.75409221801,4382.88,4711.32612242572,4159.37069176596
"bitcoin_close",17376,1,823526.745763008,907.483744076448,0.20706231924823,Inf,2,5290.14374407645,4382.66,5631.67987883944,4969.32024459429
