class,rsi,adx,trend,preds,buy_sell,Date,Open,High,Low,Close,Volume,profits,,,,buy_thresh,0.65
1,61.54012352,18.15433579,588.9524314,0.465665996,0,7/31/2017,2763.24,2889.62,2720.61,2875.34,860575000,0,,,,,
0,65.44086149,18.76159786,677.8135341,0.407636851,0,8/1/2017,2871.3,2921.35,2685.61,2718.26,1324670000,0,,,,,
0,53.07338761,19.07384979,492.6065927,0.383242458,0,8/2/2017,2727.13,2762.53,2668.59,2710.67,1094950000,0,,,,,
1,51.13194507,19.23752378,443.2747972,0.383242458,0,8/3/2017,2709.56,2813.31,2685.14,2804.73,804797000,0,,,,,
1,55.7317788,19.63718406,498.0975093,0.383242458,0,8/4/2017,2806.93,2899.33,2743.72,2895.89,1002120000,0,,,,,
1,62.5323888,20.40804838,552.3744588,0.327302754,-1,8/5/2017,2897.63,3290.01,2874.83,3252.91,1945700000,-355.28,,,,,
0,77.07646992,22.45041394,874.7243913,0.431843221,0,8/6/2017,3257.61,3293.29,3155.6,3213.94,1105030000,0,,,,,
1,75.2551973,24.35566732,762.80844,0.536340296,0,8/7/2017,3212.78,3397.68,3180.89,3378.94,1482280000,0,,,,,
1,80.70206513,26.4018674,843.592596,0.45575881,0,8/8/2017,3370.22,3484.85,3345.83,3419.94,1752760000,0,,,,,
0,83.24611836,28.51728468,781.1126844,0.45575881,0,8/9/2017,3420.4,3422.76,3247.67,3342.47,1468960000,0,,,,,
1,76.11973141,29.67713895,585.1995086,0.473874331,0,8/10/2017,3341.84,3453.45,3319.47,3381.28,1515110000,0,,,,,
1,77.31048771,30.84778187,522.1483774,0.49803412,0,8/11/2017,3373.82,3679.72,3372.12,3650.62,2021190000,0,,,,,
1,84.24542724,32.54555382,703.8878046,0.495034248,0,8/12/2017,3650.63,3949.92,3613.7,3884.71,2219590000,0,,,,,
1,88.58317373,34.67103704,820.6997558,0.410143763,0,8/13/2017,3880.04,4208.39,3857.8,4073.26,3159090000,0,,,,,
1,91.07263535,37.04468677,849.7859998,0.384701431,0,8/14/2017,4066.1,4325.13,3989.16,4325.13,2463090000,0,,,,,
0,93.56876054,39.40328148,904.6727998,0.384701431,0,8/15/2017,4326.99,4455.97,3906.18,4181.93,3258050000,0,,,,,
1,83.514372,41.75423017,562.4447839,0.45575881,0,8/16/2017,4200.34,4381.23,3994.42,4376.63,2272040000,0,,,,,
0,85.68036142,43.93725395,556.3884357,0.495034248,0,8/17/2017,4384.44,4484.7,4243.71,4331.69,2553360000,0,,,,,
0,82.05076514,46.09195219,358.8736112,0.45575881,0,8/18/2017,4324.34,4370.13,4015.4,4160.62,2941710000,0,,,,,
