"currency","train_start","forecast_actual","volatility","actual_val","num_forecast_vals","mspe","mae","mape","pm","optimal_p","optimal_q","optimal_d","optimal_aic","up","lb"
"bitcoin_close",17377,2736.80348475944,581.078101890719,2757.18,1,415.202373348826,20.3765152405613,0.00739034638310204,Inf,1,0,0,-78.3993352213849,3042.72114054547,2461.64303865475
"bitcoin_close",17378,2678.59371634897,567.736560548907,2875.34,1,38709.1001304913,196.746283651029,0.0684253979185173,Inf,1,0,0,-78.168739870069,2977.46169759084,2409.72513704193
"bitcoin_close",17379,2962.63602849446,639.6169709523,2718.26,1,59719.6433027247,244.376028494459,0.0899016387300917,Inf,1,0,0,-77.378045613857,3299.65574745385,2660.03877650155
"bitcoin_close",17380,2728.82911416575,598.607430987533,2710.67,1,329.753427284643,18.1591141657473,0.00669912389399937,Inf,1,0,0,-77.2442601043037,3044.49788866749,2445.89045767996
"bitcoin_close",17381,2745.61870381375,601.280859047514,2804.73,1,3494.14533681831,59.1112961862477,0.0210755745423794,Inf,1,0,0,-77.2333333893272,3062.66988892424,2461.38902987673
"bitcoin_close",17382,2619.71174917812,571.784200157115,2895.89,1,76274.4262270349,276.178250821883,0.0953690405443173,Inf,1,0,0,-76.6227701540139,2921.15754053597,2349.37334037885
"bitcoin_close",17383,2846.46928184463,627.231782347471,3252.91,1,165194.05737465,406.440718155367,0.12494680706056,Inf,1,0,0,-75.9507124835025,3177.30971204247,2550.077929695
"bitcoin_close",17384,3256.83570041778,823.112380432487,3213.94,1,1840.04111433151,42.8957004177751,0.0133467645375381,Inf,0,0,1,-72.5168185344595,3694.29243871703,2871.18005828455
"bitcoin_close",17385,3218.43872588422,810.260441630729,3378.94,1,25760.6589927874,160.501274115776,0.047500480658365,Inf,0,0,1,-72.5803776570164,3648.96719700408,2838.70675537336
"bitcoin_close",17386,3579.92835643449,906.765999097552,3419.94,1,25596.2741946087,159.988356434488,0.0467810418997081,Inf,0,0,1,-72.1180855368324,4061.906684033,3155.14068493544
"bitcoin_close",17387,3386.4904356949,852.485809285679,3342.47,1,1937.79875876889,44.0204356949007,0.0131700316517129,Inf,0,0,1,-72.883146121502,3839.45260883791,2986.96679955223
"bitcoin_close",17388,3953.37057907009,995.617511544965,3381.28,1,327287.630660753,572.090579070092,0.169193494496194,Inf,0,0,1,-72.8135289938268,4482.39813145233,3486.78061990737
"bitcoin_close",17389,3323.67617254484,844.280960057054,3650.62,1,106892.266311031,326.943827455163,0.0895584386912807,Inf,0,0,1,-72.9340987160973,3772.51745655236,2928.23649649531
"bitcoin_close",17390,3702.94023360723,969.192019326523,3884.71,1,33040.2479744811,181.769766392767,0.0467910774273413,Inf,0,0,1,-71.6926330792783,4219.11065901848,3249.91863969196
"bitcoin_close",17391,3856.67584367814,1000.89604411573,4073.26,1,46908.6967696517,216.58415632186,0.0531721904130499,Inf,0,0,1,-71.4934800676627,4389.45776568054,3388.56172156481
"bitcoin_close",17392,4100.22174352242,1035.52246542182,4325.13,1,50583.7238317869,224.908256477584,0.052000345995978,Inf,0,0,1,-73.7556951710712,4650.54419823817,3615.02173281635
"bitcoin_close",17393,4359.52721130156,866.57857154259,4181.93,1,31540.7694620911,177.59721130156,0.0424677628036721,Inf,0,3,1,-73.6854754608547,4814.29568969756,3947.71711815497
"bitcoin_close",17394,4137.62191081967,940.261102511339,4376.63,1,57124.8666936321,239.008089180329,0.0546100742307047,Inf,0,0,1,-78.08700243851,4634.37571840409,3694.11461589275
"bitcoin_close",17395,4154.39979798383,946.626315451743,4331.69,1,31431.8157309331,177.290202016166,0.0409286449436978,Inf,0,0,1,-77.9549972529901,4654.58844485593,3707.96212940419
"bitcoin_close",17396,4168.12479392095,953.879932680226,4160.62,1,56.3219317959531,7.50479392095167,0.00180376816939583,Inf,0,0,1,-78.0322423103738,4672.26308014089,3718.38314746067
"bitcoin_close",17397,4208.15660381972,732.614415622826,4193.7,1,208.993394000393,14.4566038197217,0.00344721935754149,Inf,0,0,1,-93.5974023602774,4590.37668791779,3857.76227229496
"bitcoin_close",17398,4180.16382050791,697.348930937412,4087.66,1,8556.95680855912,92.5038205079072,0.0226300182764484,Inf,0,0,1,-94.9857775925392,4543.35484055727,3846.00590961986
"bitcoin_close",17399,4104.29938322863,668.970662546315,4001.74,1,10518.4270882371,102.55938322863,0.0256286973238217,Inf,0,0,1,-95.9989663802185,4452.39182171315,3783.42115916684
"bitcoin_close",17400,4132.26085004162,664.673496864641,4100.52,1,1007.48156136429,31.740850041615,0.00774068899593587,Inf,0,0,1,-96.1894800418825,4477.94013601599,3813.26663915135
"bitcoin_close",17401,4021.0290475949,645.883819795089,4151.52,1,17027.8886595899,130.4909524051,0.0314320905126555,Inf,0,0,1,-95.9294752981577,4356.91836976568,3711.03454997059
"bitcoin_close",17402,4110.29139287989,637.910203672543,4334.68,1,50350.2470053013,224.388607120106,0.0517658990098706,Inf,0,0,1,-98.1906448171106,4441.60324245777,3803.69303878523
"bitcoin_close",17403,4257.92992862947,673.440754014012,4371.6,1,12920.8851253807,113.670071370527,0.0260019378192256,Inf,0,0,1,-97.3739712164018,4607.94360805105,3934.50285403704
