date,bitcoin_price_Close,ethereum_price_Close,litecoin_price_Close,neo_price_Close,ripple_price_Close
9/24/2017,3682.84,282.48,47.62,19.79,0.175787
9/25/2017,3926.07,292.33,51.58,26.02,0.181487
9/26/2017,3892.35,287.44,51.55,26.38,0.186119
9/27/2017,4200.67,306.47,56.28,31.79,0.203299
9/28/2017,4174.73,299.15,54.09,29.76,0.196131
9/29/2017,4163.07,291.47,52.62,28.64,0.193606
9/30/2017,4338.71,301.46,55.14,34.21,0.197529
10/1/2017,4403.74,302.34,54.54,35.72,0.206532
10/2/2017,4409.32,297.48,53.38,36.74,0.202676
10/3/2017,4317.48,292.46,52.35,33.61,0.203318
10/4/2017,4229.36,292.66,51.4,31.16,0.214774
10/5/2017,4328.41,295.86,51.67,32.28,0.237016
10/6/2017,4370.81,308.59,52.12,33.52,0.234039
10/7/2017,4426.89,311.12,52.58,36.14,0.23861
10/8/2017,4610.48,308.61,53.14,32.07,0.279944
10/9/2017,4772.02,297.39,50.16,29.1,0.251825
10/10/2017,4781.99,299.87,50.72,29.31,0.260733
10/11/2017,4826.48,303.46,50.89,29.96,0.264439
10/12/2017,5446.91,304.14,60.11,28.18,0.248414
10/13/2017,5647.21,338.76,59.43,29.35,0.260489
10/14/2017,5831.79,339.63,63.95,27.8,0.25732
10/15/2017,5678.19,336.6,65.47,27.73,0.263983
10/16/2017,5725.59,333.38,64.62,28.53,0.256232
10/17/2017,5605.51,317.08,59.48,31.4,0.232064
10/18/2017,5590.69,314.32,60.73,29.67,0.21852
10/19/2017,5708.52,308.09,59.74,28.66,0.21515
10/20/2017,6011.45,304.01,60.33,27.75,0.210549
10/21/2017,6031.6,300.19,58.2,27.13,0.211016
10/22/2017,6008.42,295.45,56.81,28.79,0.204177
10/23/2017,5930.32,286.95,54.92,27.51,0.196928
10/24/2017,5526.64,298.33,55.96,30.15,0.206644
10/25/2017,5750.8,297.93,56.49,28.54,0.204604
10/26/2017,5904.83,296.53,55.74,28.33,0.203628
10/27/2017,5780.9,297.42,55.33,28.76,0.202785
10/28/2017,5753.09,296.3,54.69,27.35,0.201835
10/29/2017,6153.85,305.09,57.11,27.76,0.202785
10/30/2017,6130.53,307.75,56.39,28.79,0.202711
10/31/2017,6468.4,305.88,55.75,28.47,0.200558
11/1/2017,6767.31,291.69,53.18,26.86,0.194124
11/2/2017,7078.5,287.43,54.74,24.5,0.205861
11/3/2017,7207.76,305.71,56.18,26.82,0.208133
11/4/2017,7379.95,300.47,55.04,26.49,0.20375
11/5/2017,7407.41,296.26,54.75,26.38,0.202055
11/6/2017,7022.76,298.89,55.17,26.32,0.20599
11/7/2017,7144.38,294.66,61.3,26.23,0.210354
11/8/2017,7459.69,309.07,62.57,30.67,0.217437
11/9/2017,7143.58,320.88,64.27,31.9,0.217488
11/10/2017,6618.14,299.25,59.26,28.18,0.206483
11/11/2017,6357.6,314.68,62.3,28.53,0.21043
11/12/2017,5950.07,307.91,59.01,26.96,0.197339
11/13/2017,6559.49,316.72,61.4,28.4,0.203442
11/14/2017,6635.75,337.63,62.68,29.73,0.209825
11/15/2017,7315.54,333.36,63.82,29.35,0.212956
11/16/2017,7871.69,330.92,71.06,28.7,0.227107
11/17/2017,7708.99,332.39,67.57,40.5,0.226581
