date,bitcoin_price_Open,bitcoin_price_High,bitcoin_price_Low,bitcoin_price_Close,bitcoin_price_Volume,bitcoin_price_Market.Cap,dash_price_Open,dash_price_High,dash_price_Low,dash_price_Close,dash_price_Volume,dash_price_Market.Cap,ethereum_price_Open,ethereum_price_High,ethereum_price_Low,ethereum_price_Close,ethereum_price_Volume,ethereum_price_Market.Cap,iota_price_Open,iota_price_High,iota_price_Low,iota_price_Close,iota_price_Volume,iota_price_Market.Cap,litecoin_price_Open,litecoin_price_High,litecoin_price_Low,litecoin_price_Close,litecoin_price_Volume,litecoin_price_Market.Cap,monero_price_Open,monero_price_High,monero_price_Low,monero_price_Close,monero_price_Volume,monero_price_Market.Cap,nem_price_Open,nem_price_High,nem_price_Low,nem_price_Close,nem_price_Volume,nem_price_Market.Cap,neo_price_Open,neo_price_High,neo_price_Low,neo_price_Close,neo_price_Volume,neo_price_Market.Cap,numeraire_price_Open,numeraire_price_High,numeraire_price_Low,numeraire_price_Close,numeraire_price_Volume,numeraire_price_Market.Cap,omisego_price_Open,omisego_price_High,omisego_price_Low,omisego_price_Close,omisego_price_Volume,omisego_price_Market.Cap,qtum_price_Open,qtum_price_High,qtum_price_Low,qtum_price_Close,qtum_price_Volume,qtum_price_Market.Cap,ripple_price_Open,ripple_price_High,ripple_price_Low,ripple_price_Close,ripple_price_Volume,ripple_price_Market.Cap,stratis_price_Open,stratis_price_High,stratis_price_Low,stratis_price_Close,stratis_price_Volume,stratis_price_Market.Cap,waves_price_Open,waves_price_High,waves_price_Low,waves_price_Close,waves_price_Volume,waves_price_Market.Cap,vix_Open,vix_High,vix_Low,vix_Close,gold_USD,gold_EURO,gold_JPY,gold_GBP,crude_oil_WTI,crude_oil_Brent,dji_Open,dji_High,dji_Low,dji_Close,dji_Volume,nasdaq_Open,nasdaq_High,nasdaq_Low,nasdaq_Close,nasdaq_Volume,usepunidexd
1/31/18,10108.2,10381.6,9777.42,10221.1,8041160000,1.70E+11,678.93,699.31,654.86,697.46,97657100,5329560000,1071.09,1128.66,1034.5,1118.31,3757560000,1.04E+11,2.22,2.34,2.18,2.31,48505200,6162980000,165.3,167.07,157.65,163.35,363293000,9090870000,274.9,284.02,265.28,272.89,67649500,4306290000,0.785675,0.787938,0.737936,0.779857,50105100,7071080000,145.4,148.18,133.32,145.76,357309000,9451090000,22.45,22.86,21.17,21.6,331054,29089000,14.9,15.85,14.16,15.74,71504300,1520480000,37.3,42.38,34.62,42.12,437472000,2754250000,1.13,1.19,1.04,1.16,1264030000,43800800000,11.99,12.78,11.12,12.29,25649400,1183220000,7.63,7.93,7.24,7.68,27535700,762709000,14.23,14.44,13.41,13.54,1345.05,1079.71,146818.91,945.85,64.82,67.78,26268.16992,26338.0293,26050.98047,26149.39063,479130000,7443.25,7453.99,7381.12,7411.48,2407540000,71.84
1/30/18,11306.8,11307.2,10036.2,10106.3,8637860000,1.90E+11,767.73,781.68,675.32,676.91,112419000,6025040000,1184.13,1184.63,1058.97,1071.13,4107860000,1.15E+11,2.59,2.64,2.2,2.22,94218100,7195220000,181.44,181.52,163.03,165.28,433227000,9976170000,317.36,318.01,268.68,274.02,93182600,4970190000,0.935732,0.935732,0.776117,0.776491,47194000,8421590000,168.86,173.75,140.13,146.28,670295000,10976100000,26.89,29.73,21.97,22.64,1308300,34838200,16.89,17.86,14.67,14.92,96893300,1723530000,43.6,43.64,36.71,37.33,275840000,3219350000,1.33,1.33,1.13,1.14,1134640000,51452400000,14.87,14.87,11.76,11.97,25695100,1467940000,8.71,8.78,7.52,7.61,29051000,870974000,13.93,15.42,13.88,14.79,1344.90,1083.59,146338.56,952.68,64.64,67.78,26198.44922,26256.99023,26028.41992,26076.89063,448330000,7388.89,7433.65,7373.99,7402.48,2163980000,68.45
1/29/18,11755.5,11875.6,11179.2,11296.4,7107360000,1.98E+11,811.84,818.31,747.13,767.69,114750000,6369620000,1246.7,1256.7,1169.08,1182.36,3715080000,1.21E+11,2.52,2.58,2.4,2.58,60210600,7007530000,193.75,194.39,179.23,181.66,303561000,10649800000,331.77,336.69,314.05,316.63,55323000,5194670000,1.03,1.03,0.923629,0.935431,47381700,9253430000,152.08,168.14,151.46,168.14,602514000,9885260000,29.62,29.72,26.55,26.88,244029,38386000,17.15,17.35,16.04,16.91,46635600,1750090000,43.84,45.51,42.33,43.41,412998000,3236940000,1.4,1.41,1.3,1.32,1073680000,54204300000,14.62,14.9,13.73,14.82,29743800,1443430000,9.19,9.3,8.54,8.71,33554900,918718000,11.71,13.84,11.68,13.84,1343.85,1087.57,146519.95,955.56,65.71,68.41,26584.2793,26608.90039,26435.33984,26439.48047,421000000,7484.47,7500.61,7455.55,7466.51,2103380000,85.23
1/28/18,11475.3,12040.3,11475.3,11786.3,8350360000,1.93E+11,777.05,815.91,767.28,812.24,122949000,6095130000,1111.78,1257.77,1111.78,1246.01,5372330000,1.08E+11,2.46,2.56,2.46,2.52,47752200,6830550000,181.42,194.68,181.42,193.87,363515000,9969420000,322.96,337.16,322.96,332.17,75700900,5055340000,1.06,1.06,1.01,1.03,83612400,9506630000,140.37,153.61,140.37,152.16,246175000,9124100000,28.89,30.4,27.57,29.65,653506,37431100,16.06,17.29,15.77,17.09,83798900,1638530000,39.74,44.08,39.74,43.76,346952000,2934440000,1.22,1.44,1.22,1.4,1327360000,47412500000,14.45,15.16,14.21,14.64,34283400,1426250000,9.17,9.53,9.02,9.2,34527300,916626000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.65
1/27/18,11174.9,11614.9,10989.2,11440.7,7583270000,1.88E+11,782.87,788.67,753.37,773.84,115618000,6139280000,1055.75,1121.98,1042.12,1107.07,3002870000,1.03E+11,2.38,2.49,2.37,2.45,43333600,6607670000,176.66,183.15,174.88,180.89,291633000,9705020000,325.31,332.83,310.44,321.36,66614100,5090880000,0.843234,1.11,0.817192,1.06,237529000,7589110000,138.14,142.07,134.35,140.2,207868000,8979150000,26.56,32.78,25.18,28.68,2537640,34417900,16.6,16.77,15.79,15.98,99130000,1693910000,39.77,40.48,38.15,39.58,228016000,2936640000,1.22,1.24,1.19,1.22,689101000,47180200000,13.46,15.39,13.18,14.42,117059000,1329110000,8.95,9.46,8.86,9.11,39528900,894906000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.21
1/26/18,11256,11656.7,10470.3,11171.4,9746200000,1.89E+11,793.92,815.83,741.85,782.41,100517000,6224310000,1052.7,1080.6,996.78,1055.17,3617690000,1.02E+11,2.36,2.45,2.2,2.37,62216500,6558110000,179.82,182.89,167.08,176.73,375477000,9875590000,316.6,328.78,292.48,323.69,91052800,4953260000,0.944931,1.02,0.765609,0.839974,174749000,8504380000,137.75,141.13,126.53,137.89,324067000,8953600000,27.79,28.39,25.32,26.59,225736,36013400,17.93,18.58,14.93,16.58,145709000,1829140000,40.41,41.73,35.83,39.7,378512000,2983480000,1.31,1.33,1.14,1.22,2037570000,50706400000,12.64,14.13,11.22,13.37,55387300,1247740000,9.04,9.36,8.32,8.96,34796200,903952000,11.4,11.6,11.08,11.08,1353.15,1088.31,146931.77,954.06,66.27,70.08,26466.74023,26616.71094,26425.34961,26616.71094,477780000,7448.33,7505.77,7431.22,7505.77,2059010000,110.00
1/25/18,11421.7,11785.7,11057.4,11259.4,8873170000,1.92E+11,788.77,819.09,782.13,795.65,114378000,6182430000,1063.22,1104.66,1034.74,1056.03,4050190000,1.03E+11,2.46,2.59,2.34,2.37,56586500,6845150000,181.56,185.42,176.35,180.27,363138000,9968750000,322.17,328,306.59,317.1,76537300,5039370000,0.973386,1,0.924831,0.9491,57845600,8760480000,138.09,146.94,134.58,138,315010000,8976150000,28.87,29.91,25.87,27.87,390559,37406300,18.05,19.12,16.67,17.96,79337500,1841760000,40.93,41.98,39.68,40.72,330419000,3021830000,1.36,1.38,1.29,1.31,986068000,52811100000,12.84,13.14,12.11,12.68,18111100,1267800000,8.92,9.23,8.72,9.06,38346500,891993000,11.27,12.01,11.2,11.58,1354.95,1083.70,147276.27,947.35,65.62,71.08,26313.06055,26458.25,26259.7207,26392.78906,401390000,7457.95,7458.53,7388.58,7411.16,2061450000,77.97
1/24/18,10903.4,11501.4,10639.8,11359.4,9940990000,1.83E+11,757.11,797.54,734.41,775.11,116898000,5932760000,987.48,1062.44,965.81,1058.78,3944040000,95952700000,2.52,2.57,2.37,2.43,73441600,6998060000,178.43,186.28,173.72,179.99,375949000,9793780000,308.93,323.19,299.46,317.4,92263600,4830950000,0.947215,0.994965,0.907137,0.96375,57975100,8524940000,122.57,144.12,118.15,136.41,433360000,7966980000,27.11,30.32,26.12,28.27,537748,35126400,16.05,18.5,15.48,17.85,72241700,1637570000,39.05,42.4,38.25,40.51,412605000,2883110000,1.35,1.42,1.31,1.36,1853440000,52380100000,12.37,13.02,11.94,12.64,23016500,1221140000,8.2,8.94,7.97,8.81,45927300,819666000,11,12.19,10.89,11.47,1353.70,1093.28,147796.95,951.77,65.69,69.91,26282.07031,26392.80078,26106.93945,26252.11914,518790000,7474.16,7486.32,7376.75,7415.06,2277010000,93.27
1/23/18,10944.5,11377.6,10129.7,10868.4,9660610000,1.84E+11,763.13,796.99,692.93,757.34,110265000,5978460000,1004.17,1023.23,920.54,986.23,3556700000,97554300000,2.47,2.62,2.24,2.5,81217500,6861570000,180.28,186.31,165.73,177.81,441765000,9892990000,315.31,321.69,285.61,308.46,116898000,4929480000,0.987091,1.01,0.877437,0.942383,67245800,8883820000,123.37,129.71,110.18,121.6,263389000,8018770000,27.43,28.75,24.66,27.12,341714,35551000,15.66,16.62,14.3,16.05,58931400,1597700000,40.03,41.09,35.62,39.15,455691000,2955640000,1.35,1.43,1.2,1.34,2977080000,52421300000,11.55,13.29,10.96,12.46,39676300,1140180000,8.28,8.57,7.73,8.2,37418900,828237000,10.77,11.57,10.76,11.1,1333.40,1084.68,147133.99,951.21,64.45,69.81,26214.86914,26246.18945,26143.90039,26210.81055,433490000,7424.95,7465.39,7423.18,7460.29,2119840000,74.52
1/22/18,11633.1,11966.4,10240.2,10931.4,10537400000,1.96E+11,825.69,847.58,710.57,763.2,100651000,6466930000,1055.35,1089.1,930.74,1003.26,3810100000,1.03E+11,2.78,2.9,2.18,2.47,125555000,7738110000,191.79,195.25,166.88,180.01,494091000,10521900000,348.91,356.04,288.79,315.9,116893000,5453550000,1.08,1.1,0.899927,0.991465,73947400,9700910000,132.3,137.78,112.38,123.66,346611000,8599480000,27.34,30.37,25.5,27.4,729378,35425300,17.14,17.96,14.22,15.66,70101200,1748670000,43.19,43.95,36.59,39.97,665031000,3188600000,1.39,1.43,1.16,1.36,2642510000,53909800000,13.43,14.06,10.85,11.73,32543500,1325880000,8.38,8.65,7.59,8.3,30657000,838233000,11.59,11.62,10.84,11.03,1332.60,1087.70,147645.40,954.14,63.66,69.32,26025.32031,26215.23047,25974.65039,26214.59961,431200000,7338.04,7408.03,7332.81,7408.03,2106070000,110.72
1/21/18,12889.2,12895.9,11288.2,11600.1,9935180000,2.17E+11,928.13,930.18,802.41,818.27,109775000,7267440000,1155.68,1155.68,1021.5,1049.58,3378090000,1.12E+11,3.01,3.01,2.64,2.77,94697300,8358740000,211.24,211.24,184.64,190.42,463516000,11585700000,384.53,389.11,336.01,345.08,126395000,6008720000,1.22,1.22,1.02,1.07,112542000,11019300000,150.23,150.23,126.2,131.09,346048000,9764800000,34.62,38.42,26.66,27.54,2894980,44860700,19.74,19.74,16.41,16.97,55861100,2013840000,51.71,51.79,40.91,42.82,1472770000,3817440000,1.58,1.58,1.34,1.38,2840750000,61061900000,16.06,16.06,12.82,13.29,34303600,1584850000,9.65,9.72,8.06,8.27,36459600,964861000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.01
1/20/18,11656.2,13103,11656.2,12899.2,11801700000,1.96E+11,853.05,959.04,848.98,926.12,162376000,6677870000,1044.95,1167.11,1044.95,1155.15,3975190000,1.01E+11,2.71,3.14,2.71,3,140378000,7530230000,194.38,214.59,194.38,211.02,540786000,10658300000,367.63,403.49,358.77,383.79,240595000,5743450000,1.1,1.21,1.1,1.21,129900000,9901720000,140.49,157.19,138.65,149.94,501671000,9132020000,33.88,36.08,32.67,34.45,849290,43914600,18.63,19.95,18.63,19.71,89103800,1901100000,39.22,51.26,39.11,51.26,1389340000,2895050000,1.56,1.63,1.5,1.58,2346450000,6.05E+10,14.98,16.46,14.97,16.1,56670600,1478350000,8.88,9.82,8.88,9.6,51892200,888259000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.40
1/19/18,11429.8,11992.8,11172.1,11607.4,10740400000,1.92E+11,833.3,875.4,805.67,846.16,126837000,6521630000,1028.82,1093.22,1003.71,1039.1,4084450000,99863900000,2.75,2.93,2.56,2.7,103437000,7630760000,191.19,202.07,186.94,192.96,560284000,10480800000,314.13,367.96,309.54,364.62,199852000,4906340000,1.07,1.15,1,1.1,130817000,9645220000,141.25,150.15,132.97,139.5,494800000,9181130000,32.79,35.52,29.57,33.52,1317430,42495100,17.62,18.94,17.08,18.43,72477800,1798360000,36.97,41.46,36.19,39.19,594885000,2728690000,1.58,1.7,1.5,1.55,3697430000,61291900000,14.41,15.94,13.91,14.84,36179600,1422830000,8.51,9.38,8.21,8.78,45279300,850897000,12.3,12.33,11.18,11.27,1334.95,1092.03,147692.18,964.11,63.38,68.56,25987.34961,26071.7207,25942.83008,26071.7207,585000000,7312.00,7336.38,7297.28,7336.38,1997270000,88.34
1/18/18,11198.8,12107.3,10942.5,11474.9,15020400000,1.88E+11,800.02,892,760.48,835.49,172729000,6259570000,1016.44,1100.31,967.76,1036.28,5938320000,98642100000,2.72,3.03,2.6,2.75,125440000,7559510000,186.95,207.02,176.83,192.84,936784000,10245500000,320.6,347.11,303.35,316.47,152851000,5005990000,1.03,1.17,0.957233,1.08,119459000,9234340000,142.6,159.49,129.85,142.66,838634000,9269200000,28.88,35.51,25.6,32.91,1528400,37435400,18.23,19.45,17.16,17.73,87971600,1860280000,36.05,39.91,34.23,37.37,731389000,2661040000,1.31,1.73,1.26,1.6,9110440000,50577100000,14.84,16.2,13.51,14.59,45599200,1464610000,8.48,10.05,7.95,8.6,35228000,847572000,12.01,12.4,11.62,12.22,1332.20,1088.44,147814.23,959.45,63.96,69.48,26149.55078,26153.41992,25947.32031,26017.81055,492780000,7293.65,7313.89,7276.11,7296.05,2026220000,115.86
