currency,train_start,forecast_actual,volatility,actual_val,num_forecast_vals,mspe,mae,mape,pm,optimal_p,optimal_q,optimal_d,optimal_aic,risk_adj_return,buy_sell,profits
ethereum,17404,331.92,62.02141613,333.88,1,3.8416,1.96,0.005870373,Inf,0,0,1,-92.16615916,0,0,0
ethereum,17405,333.88,60.87266915,347.89,1,196.2801,14.01,0.04027135,Inf,0,0,1,-93.58795735,0,0,0
ethereum,17406,347.89,62.22190672,347.75,1,0.0196,0.14,0.000402588,Inf,0,0,1,-94.69749899,0,0,0
ethereum,17407,347.75,61.41690207,370.67,1,525.3264,22.92,0.061833976,Inf,0,0,1,-95.42751743,-0.01374824,0,0
ethereum,17408,369.8922193,56.57310743,378.49,1,73.92183269,8.597780684,0.022716005,Inf,1,2,1,-94.36882396,0,0,0
ethereum,17409,378.49,62.30921893,383.04,1,20.7025,4.55,0.011878655,Inf,0,0,1,-99.49401256,0.414891751,1,0
ethereum,17410,404.2254781,51.06266422,387.74,1,271.7709898,16.48547815,0.042516836,Inf,1,2,1,-103.1615627,0.406892571,1,4.7
ethereum,17411,408.0914494,50.01676316,348.98,1,3494.163445,59.11144936,0.169383487,Inf,1,2,1,-104.71681,0,0,-38.76
ethereum,17412,348.98,62.71969815,347.48,1,2.25,1.5,0.004316795,Inf,0,0,1,-94.41751779,0,0,0
ethereum,17413,347.48,51.45178144,295.17,1,2736.3361,52.31,0.177219907,Inf,0,0,1,-105.6285006,-0.119519097,-1,0
ethereum,17414,290.119167,42.25963137,312.99,1,523.0750007,22.87083297,0.073072088,Inf,0,4,1,-92.42024554,-0.654567699,-1,-17.82
ethereum,17415,282.7799868,46.15261834,334.34,1,2658.434959,51.56001318,0.154214312,Inf,3,0,0,-91.30072044,-0.039685726,0,-21.35
ethereum,17416,332.0025396,58.89927335,329.43,1,6.61796,2.572539601,0.007809063,Inf,1,0,0,-93.00809348,-0.026345573,0,0
ethereum,17417,327.8973839,58.17357171,296.5,1,985.7957158,31.3973839,0.105893369,Inf,1,0,0,-93.03165065,0.062673066,0,0
ethereum,17418,300.0973575,57.39877877,294.4,1,32.45988213,5.697357469,0.019352437,Inf,1,0,0,-88.61938113,0.074664696,0,0
ethereum,17419,298.6070699,56.34617341,288.75,1,97.16182676,9.857069887,0.034137039,Inf,1,0,0,-89.43440903,0.083732499,1,0
ethereum,17420,293.4148825,55.71173164,294.53,1,1.24348699,1.115117478,0.003786091,Inf,1,0,0,-89.01043817,0.059312078,0,5.78
ethereum,17421,297.859019,56.12716904,291.46,1,40.94744452,6.399019028,0.021955051,Inf,1,0,0,-89.42444568,0.065873889,0,0
ethereum,17422,295.1288495,55.69504889,277.11,1,324.6789355,18.01884945,0.065024176,Inf,1,0,0,-89.31854968,0,0,0
ethereum,17423,277.11,55.3103851,213.91,1,3994.24,63.2,0.295451358,Inf,0,0,1,-88.35227533,0,0,0
ethereum,17424,213.91,58.47883451,250.46,1,1335.9025,36.55,0.145931486,Inf,0,0,1,-70.19106118,0,0,0
ethereum,17425,250.46,74.33914992,246.52,1,15.5236,3.94,0.015982476,Inf,0,0,1,-65.45359177,0,0,0
ethereum,17426,246.52,73.13951208,251.75,1,27.3529,5.23,0.020774578,Inf,0,0,1,-65.47736627,0,0,0
ethereum,17427,251.75,74.78249509,293.5,1,1743.0625,41.75,0.142248722,Inf,0,0,1,-65.40702053,0.031314497,0,0
ethereum,17428,296.276456,88.66359831,282.8,1,181.6148652,13.47645596,0.047653663,Inf,1,0,0,-61.92990973,0.053475148,0,0
ethereum,17429,287.3817159,85.67934873,283.74,1,13.26209461,3.641715888,0.012834693,Inf,1,0,0,-62.11831135,0.047988112,0,0
