currency,train_start,forecast_actual,volatility,actual_val,num_forecast_vals,mspe,mae,mape,pm,optimal_p,optimal_q,optimal_d,optimal_aic,risk_adj_return,buy_sell,profits
dji,17432,22339.39929,245.8959667,22296.08984,1,1875.70866,43.30945232,0.001942469,Inf,5,3,0,-261.9401483,-0.121968951,-1,0
dji,17433,22268.18339,228.7996563,22296.08984,1,778.7701753,27.90645401,0.00125163,Inf,5,4,0,-264.6613178,-0.174592902,-1,0
dji,17434,22256.3561,227.5793381,22296.08984,1,1578.76986,39.73373705,0.001782094,Inf,5,4,0,-264.7909253,-0.340445024,-1,0
dji,17435,22219.43272,225.167395,22284.32031,1,4210.399235,64.88758922,0.002911805,Inf,4,5,0,-263.1589814,-0.215705357,-1,11.76953
dji,17436,22235.67784,225.5042111,22340.71094,1,11031.95133,105.0330964,0.004701421,Inf,5,4,0,-265.298092,-0.080884487,0,-56.39063
dji,17437,22321.6041,236.2237954,22381.19922,1,3551.578393,59.59512055,0.002662731,Inf,5,4,0,-263.4704657,-0.147747482,-1,0
dji,17438,22348.86354,218.8577369,22405.08984,1,3161.396758,56.22629952,0.002509532,Inf,5,5,0,-266.5593896,0.160674608,1,-23.89062
dji,17439,22439.97874,217.1401237,22557.59961,1,13834.66804,117.6208657,0.005214246,Inf,5,5,0,-267.0594591,0.145253556,1,152.50977
dji,17440,22591.38505,232.5963307,22557.59961,1,1141.456234,33.78544411,0.001497741,Inf,5,5,0,-263.7018826,0.018841767,0,0
dji,17441,22561.46633,205.2205017,22557.59961,1,14.95149894,3.866716816,0.000171415,Inf,5,5,0,-271.2975411,0.248362245,1,0
dji,17442,22608.95683,206.7835252,22641.66992,1,1070.146225,32.7130895,0.001444818,Inf,5,5,0,-271.1977054,-0.099879148,-1,84.07031
dji,17443,22621.04857,206.4630534,22661.64063,1,1647.715651,40.59206389,0.001791224,Inf,5,5,0,-270.9728264,0.05271963,0,-19.97071
dji,17444,22672.62546,208.3631533,22775.39063,1,10560.68052,102.7651717,0.004512115,Inf,5,5,0,-270.6854285,-0.281755197,-1,0
dji,17445,22715.9695,210.8962975,22773.66992,1,3329.338211,57.70041777,0.002533646,Inf,5,5,0,-267.7392387,0.059137917,0,1.72071
dji,17446,22786.09141,210.0427899,22761.07031,1,626.0555973,25.02110304,0.001099294,Inf,3,5,0,-268.3008898,0.074444669,0,0
dji,17447,22776.7138,210.1358401,22761.07031,1,244.7188726,15.64349298,0.000687292,Inf,3,5,0,-268.4456264,-0.248968546,-1,0
dji,17448,22724.58544,146.5441034,22761.07031,1,1331.145911,36.48487235,0.001602951,Inf,5,5,0,-291.6596799,-0.092683471,-1,0
dji,17449,22747.3429,148.1106065,22830.67969,1,6945.019756,83.33678513,0.00365021,Inf,5,5,0,-291.1489635,-0.021225076,0,-69.60938
dji,17450,22827.38363,155.2909704,22872.89063,1,2070.887296,45.50700271,0.001989561,Inf,5,5,0,-288.9595856,-0.149705428,-1,0
dji,17451,22850.38023,150.3646391,22841.00977,1,87.8054707,9.370457337,0.000410247,Inf,5,5,0,-290.1975573,-0.036514783,0,31.88086
dji,17452,22835.51131,150.5818036,22871.7207,1,1311.120061,36.20939189,0.001583151,Inf,5,5,0,-290.1837655,0.033937716,0,0
dji,17453,22876.83748,150.7697644,22956.96094,1,6419.768619,80.12345861,0.00349016,Inf,5,5,0,-289.9321531,0.018701083,0,0
dji,17454,22959.913,157.855039,22956.96094,1,8.71465941,2.952060197,0.000128591,Inf,5,4,0,-288.1515307,0.123790281,1,0
dji,17455,22975.48185,149.6152159,22956.96094,1,343.0240903,18.52090954,0.000806767,Inf,4,5,0,-291.2143314,-0.088880361,0,0
dji,17456,22943.60568,150.2610973,22997.43945,1,2898.074848,53.83377052,0.002340859,Inf,5,4,0,-290.9275816,0.006542321,0,0
dji,17457,22998.41776,149.5352692,23157.59961,1,25338.86211,159.1818523,0.006873849,Inf,5,4,0,-290.7973339,0.239138184,1,0
dji,17458,23199.31542,174.4422881,23163.03906,1,1315.974445,36.27636207,0.001566131,Inf,4,5,0,-280.4128643,-0.229237697,-1,5.43945
dji,17459,23127.13401,156.6280353,23328.63086,1,40600.98058,201.4968501,0.00863732,Inf,4,5,0,-286.5546864,0.067214333,0,-165.5918
dji,17460,23341.95869,198.2885555,23273.96094,1,4623.694407,67.99775295,0.002921624,Inf,5,5,0,-274.2603386,0.33096873,1,0
dji,17461,23343.49209,210.0837341,23273.96094,1,4834.580355,69.53114665,0.002987508,Inf,5,5,0,-272.431488,0.226535798,1,0
dji,17462,23321.39839,209.4037758,23273.96094,1,2250.311799,47.43745144,0.00203822,Inf,5,3,0,-272.7352101,0.094680604,1,0
dji,17463,23294.04193,212.0919067,23441.75977,1,21820.56031,147.7178402,0.006301483,Inf,5,4,0,-272.386681,0.161756493,1,167.79883
dji,17464,23474.69277,203.5961536,23329.46094,1,21092.28441,145.2318299,0.006225254,Inf,3,5,1,-268.8918156,0.229282055,1,-112.29883
dji,17465,23378.80742,215.2217312,23400.85938,1,486.2889069,22.05195925,0.000942357,Inf,4,5,0,-268.3730463,0.003892104,0,71.39844
dji,17466,23401.74657,227.9448555,23434.18945,1,1052.540783,32.44288494,0.001384425,Inf,5,5,0,-266.9468855,0.162882634,1,0
dji,17467,23471.30272,227.8528076,23348.74023,1,15021.56282,122.5624854,0.005249212,Inf,5,5,0,-266.9629215,0.306047048,1,-85.44922
dji,17468,23420.29033,233.7878961,23348.74023,1,5119.416169,71.55009552,0.003064409,Inf,5,5,0,-265.8192922,0.172335714,1,0
dji,17469,23385.91358,215.7030865,23348.74023,1,1381.857604,37.17334534,0.001592092,Inf,5,3,0,-270.4016888,-0.121926255,-1,0
dji,17470,23322.52643,214.9971755,23377.24023,1,2993.599964,54.71380049,0.002340473,Inf,5,4,0,-270.6661605,-0.379940455,-1,-28.5
dji,17471,23294.91662,216.6750277,23435.00977,1,19626.09026,140.0931485,0.005977943,Inf,5,4,0,-270.0906684,-0.369382251,-1,-57.76954
dji,17472,23358.13565,208.1153702,23516.25977,1,25003.23858,158.124124,0.006724034,Inf,4,4,0,-270.2465977,-0.515923175,-1,-81.25
dji,17473,23411.2753,203.4885732,23539.18945,1,16362.02999,127.9141509,0.005434093,Inf,5,4,0,-270.7030663,0.18393144,1,-22.92968
dji,17474,23579.22881,217.6863402,23548.41992,1,949.1878325,30.8088921,0.001308321,Inf,5,5,0,-271.2288364,-0.055387942,0,9.23047
dji,17475,23536.31964,218.4640757,23548.41992,1,146.4166704,12.10027563,0.000513847,Inf,5,4,0,-271.0022311,-0.062328915,0,0
dji,17476,23534.92875,216.4512022,23548.41992,1,182.01163,13.49116859,0.000572912,Inf,5,5,0,-271.3689434,0.105316561,1,0
dji,17477,23571.25847,216.8562475,23557.23047,1,196.7849031,14.02800425,0.000595486,Inf,5,4,0,-271.2706031,-0.161415465,-1,8.81055
dji,17478,23522.22134,216.88834,23563.35938,1,1692.338514,41.13804217,0.001745848,Inf,5,4,0,-271.2252218,0.129148062,1,-6.12891
dji,17479,23590.47791,209.9801478,23461.93945,1,16522.13548,128.5384592,0.005478595,Inf,5,5,0,-273.2731778,-0.101012771,-1,-101.41993
dji,17480,23440.26605,214.5609813,23422.21094,1,325.98702,18.05511063,0.000770854,Inf,5,5,0,-271.3827295,-0.097788391,-1,39.72851
dji,17481,23401.2378,214.4747091,23439.69922,1,1479.280583,38.46141681,0.001640866,Inf,5,5,0,-271.741982,-0.353440859,-1,-17.48828
dji,17482,23367.59041,204.0194637,23439.69922,1,5199.681133,72.10881453,0.003076354,Inf,5,5,0,-273.6771241,-0.096560558,-1,0
dji,17483,23418.05411,224.1609786,23439.69922,1,468.5107553,21.64510927,0.000923438,Inf,5,4,0,-270.3519919,0.147708138,1,0
dji,17484,23472.95707,225.1592292,23409.4707,1,4030.519237,63.48637049,0.002711995,Inf,5,4,0,-270.5456118,-0.267178437,-1,-30.22852
dji,17485,23351.53437,216.8450807,23271.2793,1,6440.876302,80.25507026,0.003448675,Inf,5,4,0,-271.3731888,0.041318875,0,138.1914
dji,17486,23280.7273,228.6605962,23458.35938,1,31553.15636,177.6320815,0.00757223,Inf,5,4,0,-268.8318195,-0.28286832,-1,0
dji,17487,23389.21755,244.4311485,23358.24023,1,959.5944576,30.97732167,0.001326184,Inf,5,3,0,-266.6838278,0.022141627,0,100.11915
dji,17488,23363.20346,224.1581392,23430.33008,1,4505.983672,67.12662417,0.002864946,Inf,5,5,0,-270.8856786,-0.333233528,-1,0
dji,17489,23365.00008,196.0487114,23430.33008,1,4268.009401,65.33000384,0.002788266,Inf,5,5,0,-276.4095323,-0.393237344,-1,0
dji,17490,23351.19637,201.2365084,23430.33008,1,6262.144082,79.13371015,0.003377405,Inf,5,5,0,-276.7306835,0.107554743,1,0
dji,17491,23452.68691,207.864616,23590.83008,1,19083.5367,138.1431747,0.0058558,Inf,5,5,0,-275.6907035,-0.62071181,-1,160.5
dji,17492,23479.92302,178.6772207,23526.17969,1,2139.679622,46.2566711,0.001966179,Inf,4,4,0,-279.7288474,0.19662598,1,64.65039
dji,17493,23556.74126,155.4299767,23557.99023,1,1.559922471,1.248968563,5.30E-05,Inf,4,4,0,-288.6925025,-0.158407562,-1,31.81054
dji,17494,23534.09317,150.8580667,23557.99023,1,571.0694083,23.89705857,0.001014393,Inf,5,5,0,-289.9516665,-0.182887662,-1,0
dji,17495,23534.66063,127.5624859,23580.7793,1,2126.932168,46.11867483,0.001955774,Inf,5,5,0,-299.8606154,-0.309592607,-1,-22.78907
dji,17496,23539.89894,132.0456612,23580.7793,1,1671.203878,40.88036054,0.001733631,Inf,4,4,0,-297.7041817,-0.604937821,-1,0
dji,17497,23502.34436,129.6578473,23580.7793,1,6152.039123,78.4349356,0.003326223,Inf,4,4,0,-298.2877502,-0.835336758,-1,0
dji,17498,23466.3078,137.0363456,23836.71094,1,137198.4836,370.4031366,0.015539188,Inf,4,4,0,-294.22462,-0.667748709,-1,-255.93164
dji,17499,23661.95208,261.7135108,23940.67969,1,77689.08006,278.7276091,0.011642427,Inf,5,3,0,-263.6124144,0.368721089,1,-103.96875
dji,17500,24039.26119,267.3606272,24272.34961,1,54330.2108,233.0884184,0.009603043,Inf,5,5,0,-260.0956475,0.29934207,1,331.66992
dji,17501,24355.85243,278.9545212,24231.58984,1,15441.19222,124.2625938,0.005128124,Inf,5,5,0,-255.9128935,0.502421198,1,-40.75977
dji,17502,24376.53729,288.4978808,24290.05078,1,7479.916548,86.48651079,0.003560573,Inf,5,5,0,-255.235153,-0.008637325,0,58.46094
dji,17503,24287.54671,289.9126256,24290.05078,1,6.270363979,2.504069484,0.00010309,Inf,5,4,0,-255.2472127,-0.232555174,-1,0
dji,17504,24224.39514,282.322844,24290.05078,1,4310.66283,65.65563822,0.002702985,Inf,4,5,0,-256.412392,0.298930722,1,0
dji,17505,24374.60469,282.8545278,24180.64063,1,37622.05584,193.9640581,0.008021461,Inf,4,5,0,-256.0971329,-0.300600831,-1,-109.41015
dji,17506,24089.85703,302.0071604,24140.91016,1,2606.422434,51.05313344,0.002114797,Inf,5,5,0,-252.6434105,-0.561414404,-1,39.73047
dji,17507,23976.86997,292.1909179,24211.48047,1,55042.08671,234.6105,0.009690052,Inf,5,4,0,-253.9168041,-0.019446437,0,-70.57031
dji,17508,24206.04495,279.512633,24329.16016,1,15157.3561,123.1152147,0.005060397,Inf,5,5,0,-254.6412461,0.170981835,1,0
dji,17509,24377.38412,282.0414428,24386.0293,1,74.73907572,8.645176442,0.000354513,Inf,5,5,0,-252.9241338,0.004957764,0,56.86914
dji,17510,24387.42375,281.2663381,24386.0293,1,1.944496562,1.394452065,5.72E-05,Inf,3,5,0,-253.0188818,-0.07949259,0,0
dji,17511,24363.75369,280.2224534,24386.0293,1,496.2027385,22.2756086,0.000913458,Inf,5,5,0,-253.2764233,0.090926047,1,0
dji,17512,24411.56359,280.8248198,24504.80078,1,8693.173463,93.23718927,0.003804854,Inf,5,5,0,-253.1244787,0.090468033,1,118.77148
dji,17513,24530.501,284.0806218,24585.42969,1,3017.161515,54.92869483,0.002234197,Inf,5,5,0,-252.9365399,-0.05469303,0,80.62891
dji,17514,24570.01359,281.8659695,24508.66016,1,3764.242899,61.35342614,0.002503337,Inf,5,5,0,-252.6405483,0.090955665,1,0
dji,17515,24534.83609,287.7877433,24651.74023,1,13666.57901,116.9041445,0.004742227,Inf,4,4,1,-249.8234468,0.012536279,0,143.08007
dji,17516,24655.67142,313.5849594,24792.19922,1,18639.84055,136.5278014,0.005506885,Inf,5,5,0,-250.2133255,0.281160457,1,0
dji,17517,24882.49756,321.1630043,24792.19922,1,8153.789669,90.29833702,0.003642208,Inf,5,5,0,-249.1157338,-0.210890898,-1,0
dji,17518,24726.52113,311.4315877,24792.19922,1,4313.611156,65.67808733,0.002649143,Inf,5,5,0,-250.5289224,0.109994267,1,0
dji,17519,24826.8306,314.8471431,24754.75,1,5195.612998,72.08060071,0.002911789,Inf,5,5,0,-250.0866524,0.032427005,0,-37.44922
dji,17520,24765.07343,318.3591039,24726.65039,1,1476.330177,38.42304226,0.001553912,Inf,5,5,0,-249.712115,-0.398093251,-1,0
dji,17521,24600.60793,316.6154033,24782.28906,1,33008.03124,181.6811252,0.007331087,Inf,5,5,0,-250.5890291,-0.136856523,-1,-55.63867
dji,17522,24743.05966,286.6461744,24754.06055,1,121.0195553,11.00088884,0.000444407,Inf,5,4,0,-251.8714116,-0.327993595,-1,28.22851
dji,17523,24663.43377,276.3065691,24746.21094,1,6852.060682,82.77717489,0.003345044,Inf,3,5,0,-254.6401272,0.126611489,1,7.84961
dji,17524,24780.89534,273.9435145,24746.21094,1,1203.00735,34.68439635,0.001401604,Inf,4,4,0,-255.8082916,0.350176119,1,0
dji,17525,24840.04642,267.9665186,24746.21094,1,8805.096471,93.83547555,0.003791913,Inf,5,5,0,-255.9105503,-0.084442748,0,0
dji,17526,24724.00817,262.9328019,24746.21094,1,492.9629206,22.20276831,0.000897219,Inf,5,5,0,-255.3790737,-0.578498459,-1,0
dji,17527,24594.60177,262.073585,24774.30078,1,32291.73241,179.699005,0.007253444,Inf,5,5,0,-255.3492259,-0.032402693,0,-28.08984
dji,17528,24764.81376,292.7849271,24837.50977,1,5284.709883,72.69601009,0.002926864,Inf,5,5,0,-256.0955309,0.121470705,1,0
dji,17529,24874.16606,301.770587,24719.2207,1,24008.06331,154.9453559,0.006268214,Inf,5,5,0,-254.3338071,-0.519386687,-1,-118.28907
dji,17530,24621.43437,188.2726976,24824.00977,1,41036.79375,202.5754026,0.008160463,Inf,3,5,0,-279.7514434,0.042626654,0,-104.78907
dji,17531,24833.47053,221.9447407,24824.00977,1,89.50601266,9.460761738,0.000381113,Inf,4,5,0,-272.0842727,-0.197404786,-1,0
dji,17532,24780.46726,220.5747242,24824.00977,1,1895.949858,43.54250633,0.001754048,Inf,4,5,0,-272.9531142,0.229109453,1,0
dji,17533,24874.44939,220.1551253,24824.00977,1,2544.155299,50.43962033,0.002031889,Inf,4,5,0,-272.8648507,-0.205280033,-1,0
